Document ID,name,address,categories,coordinates,description,email,image,opening-time,openingTime,phone,tagline,website
iglesia-de-la-inmaculada-concepcin,Iglesia de la Inmaculada Concepción,"Cl. 35 #43-60, Barranquilla, Atlántico, Colombia","Cultura, Historia, Arte","{lng: -74.7900, lat: 10.9800}","La Iglesia de la Inmaculada Concepción, en el centro de Barranquilla, es un templo neogótico que refleja la historia religiosa de la ciudad. Su arquitectura y ambiente sereno la hacen ideal para una inmersión cultural. Consejos: Visite durante misas para una experiencia espiritual; respete el código de vestimenta. Cómo llegar: Tome un taxi o autobús al centro (10 min).",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/iglesia%20de%20la%20inmaculada%20concepcion.webp?alt=media&token=6519ea09-248e-4048-8b08-f1fe577bdfe2,,7 AM - 7 PM,No disponible,La belleza neobarroca en el centro de Barranquilla.,https://www.inmaculadaconcepcionbarranquilla.com
iglesia-de-san-nicols-de-tolentino,Iglesia de San Nicolás de Tolentino,"Cra. 42 #33-50, Barranquilla, Atlántico, Colombia","Cultura, Historia, Arte","{lng: -74.7850, lat: 10.9750}","La Iglesia de San Nicolás de Tolentino, declarada Monumento Nacional, es un templo barroco en el centro de Barranquilla. Su rica historia y arquitectura la convierten en un punto de inmersión cultural. Consejos: Visite por la mañana; explore el barrio histórico cercano. Cómo llegar: Tome un taxi o autobús al centro (10 min).",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/iglesia%20de%20san%20nicolas%202.webp?alt=media&token=b5d59926-6b7d-4053-a857-51439530ce06,,Abierto las 24 horas,No disponible,Patrimonio cultural en el corazón de Barranquilla.,https://www.iglesiasannicolas.com
iglesia-nuestra-seora-de-chiquinquir,Iglesia Nuestra Señora de Chiquinquirá,"Cl. 36 #41-30, Barranquilla, Atlántico, Colombia","Cultura, Historia","{lng: -74.7880, lat: 10.9820}","La Iglesia Nuestra Señora de Chiquinquirá es un lugar de devoción mariana en Barranquilla, con una arquitectura sencilla pero significativa. Es ideal para explorar la historia religiosa del Atlántico. Consejos: Asista a festividades marianas; lleve ropa adecuada. Cómo llegar: Tome un taxi o autobús al centro (10 min).",,"https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/iglesia%20nuestra%20sen%CC%83ora%20de%20chiquinquira%202.webp?alt=media&token=648b2682-27f0-4124-9bb0-fc815bed5886, https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/iglesia%20nuestra%20sen%CC%83ora%20de%20chiquinquira%209.webp?alt=media&token=bec96dd1-6142-4617-ac8a-b63bb64fc70f",,Abierto las 24 horas,No disponible,Un sublime encuentro con la fe en Barranquilla.,https://www.chiquinquiraiglesia.com
iglesia-nuestra-seora-del-carmen,Iglesia Nuestra Señora del Carmen,"Cra. 50 #58-140, Barranquilla, Atlántico, Colombia","Cultura, Historia","{lng: -74.8000, lat: 11.0000}","La Iglesia Nuestra Señora del Carmen, en Barranquilla, es un templo emblemático conocido por su devoción y eventos como la fiesta del Carmen en julio. Su ambiente refleja la cultura religiosa local. Consejos: Visite durante festividades; respete el lugar. Cómo llegar: Tome un taxi o autobús por la Carrera 50 (12 min).",,"https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/iglesia%20nuestra%20sen%CC%83ora%20del%20carmen%204.webp?alt=media&token=b8b8ca5f-d0f2-4ad3-8351-3dadfe2f0a96, https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/parroquia%20nuestra%20sen%CC%83ora%20del%20carmen.webp?alt=media&token=2949aa17-da61-4642-9ede-848313862b63",,7 AM - 7 PM,No disponible,Fe y tradición en el corazón de Barranquilla.,https://www.nuestraseñoradelcarmenbarranquilla.com
iglesia-san-antonio-de-padua,Iglesia San Antonio de Padua,"Cl. 45 #46-50, Barranquilla, Atlántico, Colombia","Cultura, Historia","{lng: -74.8020, lat: 10.9880}","La Iglesia San Antonio de Padua, en el centro de Barranquilla, es un templo histórico con arquitectura tradicional. Es un lugar de inmersión cultural y espiritual. Consejos: Visite por la mañana; combine con la Plaza de La Convivencia. Cómo llegar: Tome un taxi o autobús al centro (10 min).",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/iglesia%20san%20antonio%20de%20padua%201.webp?alt=media&token=d4a4bbb7-5dd9-4f49-853a-c196d9734741,,Abierto las 24 horas,No disponible,El templo más antiguo del Atlántico.,https://www.sanantoniopadua.com
iglesia-san-jos-de-tubar,Iglesia San José de Tubará,"Cra. 5 #4-20, Tubará, Atlántico, Colombia","Cultura, Historia","{lng: -74.9750, lat: 10.8700}","La Iglesia San José de Tubará, en el municipio de Tubará, es un templo colonial que refleja la historia del Atlántico. Su ambiente tranquilo es ideal para la reflexión. Consejos: Combine con El Solar de Mao; lleve agua. Cómo llegar: Tome un autobús o taxi a Tubará desde Barranquilla (30 min).",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/iglesia%20san%20jose%20de%20tubara.webp?alt=media&token=410ce826-f379-4ea1-895d-1335aca7dea1,,Abierto las 24 horas,No disponible,Patrimonio arquitectónico del departamento.,https://www.sanjosedetubara.com
iglesia-san-roque,Iglesia San Roque,"Cl. 30 #40-50, Barranquilla, Atlántico, Colombia","Cultura, Historia","{lng: -74.7800, lat: 10.9700}","La Iglesia San Roque, en el centro de Barranquilla, es un templo histórico conocido por su devoción popular. Su ubicación permite explorar mercados y sitios históricos cercanos. Consejos: Visite durante festividades; combine con la Plaza de La Aduana. Cómo llegar: Tome un taxi o autobús al centro (10 min).",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/iglesia%20de%20san%20roque.webp?alt=media&token=2955864d-19c5-4e4a-99cf-08e4761d2cfa,,Abierto las 24 horas,No disponible,Una de las construcciones más antiguas de Barranquilla.,https://www.sanroqueiglesia.com
iglesia-santo-domingo-de-guzmn,Iglesia Santo Domingo de Guzmán,"Cra. 44 #34-60, Barranquilla, Atlántico, Colombia","Cultura, Historia","{lng: -74.7870, lat: 10.9770}","La Iglesia Santo Domingo de Guzmán, en Barranquilla, es un templo tradicional con una rica historia comunitaria. Es ideal para una inmersión cultural en el centro histórico. Consejos: Visite por la mañana; respete el ambiente religioso. Cómo llegar: Tome un taxi o autobús al centro (10 min).",,"https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/iglesia%20santo%20domingo%20de%20guzman%203.webp?alt=media&token=3a476082-13f0-45b4-abf9-bb79d525fc9b, https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/iglesia%20santo%20domingo%20de%20guzman.webp?alt=media&token=7b6086d7-6288-4c1a-b387-132c8b5f42c0",,Abierto las 24 horas,No disponible,Un patrimonio histórico y cultural del Atlántico.,https://www.santodomingodeguzmanusiacuri.com
monumento-homenaje-a-shakira,Monumento Homenaje a Shakira,"Cl. 82 #42-50, Barranquilla, Atlántico, Colombia","Cultura, Spots instagrameables, Ritmos y baile","{lng: -74.8050, lat: 11.0100}","El Monumento Homenaje a Shakira, en el barrio El Prado, celebra a la icónica cantante barranquillera. Este punto instagrameable refleja los ritmos y bailes de la región, como la salsa y la cumbia. Consejos: Visite de día para fotos; explore la vida nocturna chic cercana. Cómo llegar: Tome un taxi o autobús por la Calle 82 (12 min).",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/shak.webp?alt=media&token=b91a78e8-424a-48a5-a0f7-5d4f0a145bd9,,Abierto las 24 horas,No disponible,Una celebración al talento barranquillero de Shakira.,No disponible
monumento-la-ventana-al-mundo,Monumento La Ventana al Mundo,"Cra. 53 #98-50, Barranquilla, Atlántico, Colombia","Cultura, Spots instagrameables, Fotografía","{lng: -74.8200, lat: 11.0200}","El Monumento La Ventana al Mundo, en Barranquilla, es una estructura moderna que simboliza la apertura cultural de la ciudad. Es un punto instagrameable ideal para fotografía. Consejos: Visite al atardecer para capturar la mejor luz; lleve cámara. Cómo llegar: Tome un taxi o autobús por la Carrera 53 (15 min).",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/ventana%20al%20mundo.webp?alt=media&token=c02b31c4-a44f-470e-b062-d4c58533c22c,,Abierto las 24 horas,No disponible,La puerta colorida al mundo desde Barranquilla.,No disponible
monumento-ventana-de-campeones,Monumento Ventana de Campeones,"Cl. 72 #56-140, Barranquilla, Atlántico, Colombia","Cultura, Deportes, Fotografía","{lng: -74.8100, lat: 11.0050}",El Monumento Ventana de Campeones honra a los deportistas de Barranquilla con un diseño moderno. Es un punto instagrameable que celebra la cultura deportiva. Consejos: Visite de día; combine con el Gran Malecón. Cómo llegar: Tome un taxi o autobús por la Calle 72 (12 min).,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/ventana%20de%20campeones%203.webp?alt=media&token=94d68af0-aa09-447a-95a7-bf3ddb885771,,Abierto las 24 horas,No disponible,Un homenaje al Junior de Barranquilla y al desarrollo urbano.,No disponible
muelle-puerto-colombia,Muelle Puerto Colombia,"Cra. 4 #1-50, Puerto Colombia, Atlántico, Colombia","Historia, Fotografía, Náutica","{lng: -74.8800, lat: 11.0150}","El Muelle Puerto Colombia, construido en 1888, es un sitio histórico que refleja la historia portuaria del Atlántico. Frente al mar Caribe, es ideal para caminatas, fotografía y degustaciones de mariscos frescos en el Mercado Sazón. Consejos: Visite al amanecer o atardecer; combine con el Malecón del Mar. Cómo llegar: Tome un autobús o taxi a Puerto Colombia desde Barranquilla (20 min).",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/muelle%20de%20puerto%20colombia.webp?alt=media&token=5add6413-f0f9-4410-9edd-7c9fa4425e7e,,Abierto las 24 horas,No Disponible,Donde la historia se encuentra con el océano.,https://www.puertocolombiamuelle.com
musa-tejedora,Musa Tejedora,"Cl. 2 #5-30, Usiacurí, Atlántico, Colombia","Cultura, Artesanías, Spots instagrameables","{lng: -74.9800, lat: 10.7450}","La Musa Tejedora, en Usiacurí, es una estatua que celebra a las tejedoras de palma de iraca, un arte tradicional del municipio. Este punto instagrameable ofrece una inmersión cultural en las artesanías locales. Consejos: Combine con la Casa Museo Julio Flórez; lleve cámara. Cómo llegar: Tome un autobús a Usiacurí desde Barranquilla (45 min).",,"https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/musa%20tejedora%202.webp?alt=media&token=c7827e54-61e3-4fef-9691-53180dc9edb2, https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/musa%20tejedora%203.webp?alt=media&token=c1c13803-7211-413e-a7f0-0dcd79851e8d, https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/musa%20tejedora.webp?alt=media&token=df827c06-92b8-46b7-a883-d18146be7e21",,Abierto las 24 horas,No disponible,Un homenaje al artesano y la poesía de Julio Flórez.,No disponible
museo-arqueolgico-de-galapa-muga,Museo Arqueológico de Galapa MUGA,"Cra. 12 #10-20, Galapa, Atlántico, Colombia","Historia, Cultura, Arqueología","{lng: -74.8850, lat: 10.9000}","El Museo Arqueológico de Galapa MUGA exhibe artefactos de los pueblos Mokaná, ofreciendo una inmersión cultural en la historia indígena del Atlántico. Es ideal para los amantes de la arqueología. Consejos: Reserve una visita guiada; combine con talleres de artesanías locales. Cómo llegar: Tome un autobús a Galapa desde Barranquilla (20 min).",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/museo%20arq%20de%20galapa.webp?alt=media&token=40842474-e4a2-490e-8df8-bda011bbe88d,,Martes a domingo 9:00 a.m. – 6:00 p.m.,(+57) (605) 308 6358,Explora los tesoros arqueológicos del Atlántico,www.museogalapa.com
museo-arqueolgico-de-pueblos-karib-mapuka,Museo Arqueológico de Pueblos KARIB MAPUKA,"Cl. 8 #6-40, Puerto Colombia, Atlántico, Colombia","Historia, Cultura, Arqueología","{lng: -74.8900, lat: 11.0200}","El Museo Arqueológico de Pueblos KARIB MAPUKA, en Puerto Colombia, preserva la herencia indígena del Caribe. Sus exposiciones ofrecen una inmersión cultural en la historia portuaria. Consejos: Reserve una visita guiada; combine con el Muelle. Cómo llegar: Tome un autobús o taxi a Puerto Colombia (20 min).",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/karib.webp?alt=media&token=b4cd2b76-436e-4846-9867-68a932aab008,,Lunes a viernes: 9:00 a.m. a 12:30 p.m. - 2:00 a 4:30 p.m. sábado: 9:00 a.m. a 1:30 p.m.,(605) 3509509 ext. 3289,Conecta con las culturas ancestrales del Caribe colombiano,www.uninorte.edu.co/web/mapuka/museo
museo-del-atlntico,Museo del Atlántico,"Cl. 35 #39-50, Barranquilla, Atlántico, Colombia","Historia, Cultura, Arte","{lng: -74.7850, lat: 10.9750}","El Museo del Atlántico, en el centro de Barranquilla, narra la historia y cultura del departamento a través de exposiciones interactivas. Es ideal para una inmersión cultural en las tradiciones caribeñas. Consejos: Visite por la mañana; explore la Plaza de La Aduana. Cómo llegar: Tome un taxi o autobús al centro (10 min).",,"https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/museo_del_atlantico.webp?alt=media&token=702d9dfe-f3a1-4cf7-b5e9-a5acec2b135d, https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/museoatlantico.webp?alt=media&token=01f1c319-c211-4c52-abd7-a13ca25713ec",,Lunes a viernes 8:00 a.m. – 4:00 p.m.,(+57) (605) 330 7012,Descubre la historia del Atlántico a través del arte y la cultura,www.atlantico.gov.co
